,date,open,close,high,low,volume,code
269,2002-10-21,-113.823,-113.811,-113.727,-113.87,1646.05,600519
270,2002-10-22,-113.788,-113.707,-113.674,-113.801,2105.71,600519
271,2002-10-23,-113.694,-113.756,-113.694,-113.776,1080.78,600519
272,2002-10-24,-113.762,-113.76,-113.707,-113.762,970.6,600519
273,2002-10-25,-113.76,-113.85,-113.758,-113.86,2368.12,600519
274,2002-10-28,-113.86,-113.985,-113.86,-113.997,4471.53,600519
275,2002-10-29,-113.879,-113.936,-113.879,-114.053,3198.69,600519
276,2002-10-30,-113.928,-113.971,-113.918,-113.985,2035.57,600519
277,2002-10-31,-113.971,-113.96,-113.883,-113.977,2817.3,600519
278,2002-11-01,-113.961,-113.934,-113.924,-113.985,1471.19,600519
279,2002-11-04,-113.934,-113.848,-113.848,-113.934,1995.03,600519
280,2002-11-05,-113.84,-113.799,-113.743,-113.877,3485.38,600519
281,2002-11-06,-113.791,-113.836,-113.786,-113.84,1622.65,600519
282,2002-11-07,-113.831,-113.854,-113.811,-113.875,2416.52,600519
283,2002-11-08,-113.743,-113.961,-113.743,-113.985,2717.56,600519
284,2002-11-11,-113.952,-113.975,-113.909,-114.014,1882.82,600519
285,2002-11-12,-113.967,-114.016,-113.922,-114.026,2395.89,600519
286,2002-11-13,-114.02,-113.983,-113.979,-114.042,1953.68,600519
287,2002-11-14,-113.981,-114.01,-113.952,-114.016,1688.32,600519
288,2002-11-15,-114.016,-114.012,-113.969,-114.046,2349.01,600519
289,2002-11-18,-114.016,-113.977,-113.965,-114.016,1947.19,600519
290,2002-11-19,-113.977,-113.893,-113.87,-113.993,3218.19,600519
291,2002-11-20,-113.883,-113.911,-113.84,-113.997,9579.38,600519
292,2002-11-21,-113.93,-114.004,-113.899,-114.006,4019.53,600519
293,2002-11-22,-113.977,-113.995,-113.926,-114.059,2429.25,600519
294,2002-11-25,-113.993,-113.942,-113.922,-114.055,3987.96,600519
295,2002-11-26,-113.918,-114.034,-113.899,-114.036,2054.54,600519
296,2002-11-27,-114.055,-114.049,-113.981,-114.09,3320.91,600519
